,zcta,0,1,radm_rate
0,10001,3.0,0.0,0.0
1,10002,12.0,0.0,0.0
2,10003,5.0,0.0,0.0
3,10006,1.0,1.0,0.5
4,10007,1.0,0.0,0.0
5,10009,2.0,0.0,0.0
6,10010,8.0,2.0,0.2
7,10011,8.0,0.0,0.0
8,10012,5.0,1.0,0.16666666666666666
9,10013,2.0,1.0,0.3333333333333333
10,10014,2.0,0.0,0.0
11,10016,8.0,0.0,0.0
12,10017,4.0,0.0,0.0
13,10018,2.0,0.0,0.0
14,10019,9.0,0.0,0.0
15,10021,12.0,0.0,0.0
16,10022,12.0,0.0,0.0
17,10023,15.0,1.0,0.0625
18,10024,16.0,1.0,0.058823529411764705
19,10025,13.0,2.0,0.13333333333333333
20,10026,5.0,0.0,0.0
21,10027,6.0,0.0,0.0
22,10028,10.0,4.0,0.2857142857142857
23,10029,5.0,0.0,0.0
24,10030,5.0,0.0,0.0
25,10031,0.0,1.0,0.0
26,10032,2.0,0.0,0.0
27,10033,7.0,0.0,0.0
28,10034,4.0,0.0,0.0
29,10035,1.0,1.0,0.5
30,10036,8.0,0.0,0.0
31,10037,1.0,0.0,0.0
32,10039,3.0,0.0,0.0
33,10040,3.0,0.0,0.0
34,10044,3.0,0.0,0.0
35,10065,5.0,1.0,0.16666666666666666
36,10069,1.0,0.0,0.0
37,10075,9.0,0.0,0.0
38,10128,7.0,0.0,0.0
39,10301,5.0,0.0,0.0
40,10302,2.0,0.0,0.0
41,10303,2.0,0.0,0.0
42,10304,3.0,0.0,0.0
43,10305,4.0,0.0,0.0
44,10306,4.0,1.0,0.2
45,10308,5.0,1.0,0.16666666666666666
46,10309,2.0,0.0,0.0
47,10310,4.0,1.0,0.2
48,10312,7.0,1.0,0.125
49,10314,17.0,0.0,0.0
50,10453,2.0,0.0,0.0
51,10454,3.0,1.0,0.25
52,10456,0.0,2.0,0.0
53,10457,2.0,0.0,0.0
54,10458,5.0,0.0,0.0
55,10459,1.0,0.0,0.0
56,10460,1.0,0.0,0.0
57,10461,4.0,0.0,0.0
58,10462,3.0,1.0,0.25
59,10463,8.0,0.0,0.0
60,10465,7.0,2.0,0.2222222222222222
61,10466,1.0,1.0,0.5
62,10467,4.0,0.0,0.0
63,10468,0.0,1.0,0.0
64,10469,8.0,0.0,0.0
65,10471,3.0,1.0,0.25
66,10472,0.0,1.0,0.0
67,10473,2.0,1.0,0.3333333333333333
68,10474,1.0,0.0,0.0
69,10475,3.0,3.0,0.5
70,10501,1.0,0.0,0.0
71,10504,3.0,1.0,0.25
72,10506,4.0,1.0,0.2
73,10507,1.0,0.0,0.0
74,10509,1.0,2.0,0.6666666666666666
75,10510,7.0,1.0,0.125
76,10512,5.0,1.0,0.16666666666666666
77,10514,3.0,0.0,0.0
78,10517,1.0,0.0,0.0
79,10518,1.0,0.0,0.0
80,10520,4.0,0.0,0.0
81,10522,5.0,1.0,0.16666666666666666
82,10523,2.0,0.0,0.0
83,10530,3.0,2.0,0.4
84,10533,2.0,0.0,0.0
85,10536,2.0,1.0,0.3333333333333333
86,10537,2.0,0.0,0.0
87,10538,2.0,0.0,0.0
88,10541,5.0,0.0,0.0
89,10543,5.0,2.0,0.2857142857142857
90,10545,1.0,0.0,0.0
91,10547,2.0,0.0,0.0
92,10549,0.0,1.0,0.0
93,10550,3.0,0.0,0.0
94,10552,6.0,1.0,0.14285714285714285
95,10562,4.0,1.0,0.2
96,10566,1.0,1.0,0.5
97,10567,1.0,1.0,0.5
98,10570,3.0,0.0,0.0
99,10573,5.0,0.0,0.0
100,10576,1.0,0.0,0.0
101,10579,1.0,0.0,0.0
102,10580,1.0,0.0,0.0
103,10583,11.0,1.0,0.08333333333333333
104,10589,2.0,1.0,0.3333333333333333
105,10591,3.0,0.0,0.0
106,10595,0.0,1.0,0.0
107,10598,6.0,1.0,0.14285714285714285
108,10601,2.0,0.0,0.0
109,10603,2.0,0.0,0.0
110,10604,3.0,0.0,0.0
111,10605,3.0,1.0,0.25
112,10606,1.0,0.0,0.0
113,10607,1.0,0.0,0.0
114,10701,12.0,1.0,0.07692307692307693
115,10703,3.0,0.0,0.0
116,10704,4.0,1.0,0.2
117,10705,5.0,0.0,0.0
118,10706,3.0,0.0,0.0
119,10707,6.0,0.0,0.0
120,10708,3.0,1.0,0.25
121,10709,2.0,0.0,0.0
122,10710,7.0,0.0,0.0
123,10801,4.0,0.0,0.0
124,10803,2.0,0.0,0.0
125,10804,4.0,2.0,0.3333333333333333
126,10805,2.0,1.0,0.3333333333333333
127,10901,4.0,1.0,0.2
128,10913,1.0,0.0,0.0
129,10916,2.0,0.0,0.0
130,10918,1.0,1.0,0.5
131,10919,1.0,0.0,0.0
132,10921,1.0,0.0,0.0
133,10922,1.0,0.0,0.0
134,10924,4.0,0.0,0.0
135,10926,1.0,0.0,0.0
136,10927,3.0,0.0,0.0
137,10930,1.0,0.0,0.0
138,10940,4.0,1.0,0.2
139,10950,6.0,1.0,0.14285714285714285
140,10952,3.0,1.0,0.25
141,10954,3.0,0.0,0.0
142,10956,7.0,1.0,0.125
143,10960,2.0,0.0,0.0
144,10964,1.0,0.0,0.0
145,10965,2.0,0.0,0.0
146,10969,0.0,1.0,0.0
147,10970,1.0,1.0,0.5
148,10976,1.0,0.0,0.0
149,10977,2.0,1.0,0.3333333333333333
150,10980,3.0,0.0,0.0
151,10983,3.0,0.0,0.0
152,10984,1.0,0.0,0.0
153,10986,1.0,0.0,0.0
154,10989,1.0,0.0,0.0
155,10990,6.0,0.0,0.0
156,10994,1.0,0.0,0.0
157,10998,2.0,0.0,0.0
158,11001,3.0,0.0,0.0
159,11003,7.0,1.0,0.125
160,11004,2.0,0.0,0.0
161,11005,2.0,0.0,0.0
162,11010,4.0,0.0,0.0
163,11020,1.0,0.0,0.0
164,11021,4.0,1.0,0.2
165,11023,1.0,1.0,0.5
166,11024,2.0,0.0,0.0
167,11030,3.0,0.0,0.0
168,11040,5.0,0.0,0.0
169,11050,7.0,0.0,0.0
170,11096,1.0,0.0,0.0
171,11102,3.0,1.0,0.25
172,11103,1.0,0.0,0.0
173,11104,2.0,0.0,0.0
174,11105,2.0,0.0,0.0
175,11106,3.0,1.0,0.25
176,11109,1.0,0.0,0.0
177,11201,7.0,0.0,0.0
178,11203,2.0,0.0,0.0
179,11204,6.0,2.0,0.25
180,11205,2.0,0.0,0.0
181,11206,8.0,0.0,0.0
182,11207,4.0,0.0,0.0
183,11208,2.0,0.0,0.0
184,11209,8.0,2.0,0.2
185,11210,7.0,0.0,0.0
186,11211,6.0,0.0,0.0
187,11212,3.0,0.0,0.0
188,11213,3.0,1.0,0.25
189,11214,7.0,1.0,0.125
190,11215,5.0,0.0,0.0
191,11216,1.0,0.0,0.0
192,11217,4.0,0.0,0.0
193,11218,4.0,0.0,0.0
194,11219,6.0,0.0,0.0
195,11220,2.0,2.0,0.5
196,11221,2.0,0.0,0.0
197,11222,3.0,0.0,0.0
198,11223,6.0,1.0,0.14285714285714285
199,11224,9.0,1.0,0.1
200,11225,4.0,0.0,0.0
201,11226,5.0,0.0,0.0
202,11228,2.0,0.0,0.0
203,11229,14.0,2.0,0.125
204,11230,10.0,2.0,0.16666666666666666
205,11231,2.0,1.0,0.3333333333333333
206,11233,4.0,0.0,0.0
207,11234,11.0,1.0,0.08333333333333333
208,11235,22.0,0.0,0.0
209,11236,8.0,1.0,0.1111111111111111
210,11238,8.0,1.0,0.1111111111111111
211,11239,4.0,1.0,0.2
212,11354,3.0,0.0,0.0
213,11355,7.0,0.0,0.0
214,11356,1.0,0.0,0.0
215,11357,11.0,0.0,0.0
216,11358,6.0,1.0,0.14285714285714285
217,11360,4.0,0.0,0.0
218,11361,4.0,0.0,0.0
219,11362,2.0,0.0,0.0
220,11363,1.0,0.0,0.0
221,11364,5.0,0.0,0.0
222,11365,2.0,1.0,0.3333333333333333
223,11366,2.0,1.0,0.3333333333333333
224,11367,5.0,2.0,0.2857142857142857
225,11368,2.0,1.0,0.3333333333333333
226,11369,2.0,0.0,0.0
227,11370,5.0,0.0,0.0
228,11372,1.0,0.0,0.0
229,11373,5.0,0.0,0.0
230,11374,7.0,0.0,0.0
231,11375,5.0,0.0,0.0
232,11377,8.0,0.0,0.0
233,11378,5.0,0.0,0.0
234,11379,12.0,2.0,0.14285714285714285
235,11385,7.0,0.0,0.0
236,11411,3.0,1.0,0.25
237,11412,3.0,1.0,0.25
238,11413,8.0,0.0,0.0
239,11414,6.0,0.0,0.0
240,11415,4.0,0.0,0.0
241,11416,2.0,0.0,0.0
242,11417,1.0,0.0,0.0
243,11418,1.0,1.0,0.5
244,11419,3.0,0.0,0.0
245,11420,5.0,0.0,0.0
246,11421,1.0,0.0,0.0
247,11422,2.0,1.0,0.3333333333333333
248,11423,2.0,0.0,0.0
249,11426,4.0,0.0,0.0
250,11427,2.0,0.0,0.0
251,11428,1.0,0.0,0.0
252,11429,3.0,0.0,0.0
253,11432,2.0,1.0,0.3333333333333333
254,11434,6.0,1.0,0.14285714285714285
255,11435,3.0,1.0,0.25
256,11501,2.0,2.0,0.5
257,11507,6.0,0.0,0.0
258,11510,2.0,0.0,0.0
259,11514,1.0,0.0,0.0
260,11516,1.0,0.0,0.0
261,11518,3.0,0.0,0.0
262,11520,7.0,0.0,0.0
263,11530,4.0,0.0,0.0
264,11542,7.0,2.0,0.2222222222222222
265,11545,4.0,0.0,0.0
266,11550,1.0,0.0,0.0
267,11552,4.0,0.0,0.0
268,11553,1.0,0.0,0.0
269,11554,8.0,3.0,0.2727272727272727
270,11557,4.0,0.0,0.0
271,11558,1.0,0.0,0.0
272,11559,3.0,1.0,0.25
273,11560,3.0,2.0,0.4
274,11561,13.0,0.0,0.0
275,11563,3.0,1.0,0.25
276,11566,4.0,0.0,0.0
277,11569,1.0,1.0,0.5
278,11570,5.0,0.0,0.0
279,11572,8.0,0.0,0.0
280,11575,2.0,0.0,0.0
281,11576,1.0,0.0,0.0
282,11577,1.0,1.0,0.5
283,11579,2.0,0.0,0.0
284,11580,4.0,0.0,0.0
285,11581,4.0,1.0,0.2
286,11590,12.0,0.0,0.0
287,11596,0.0,1.0,0.0
288,11598,3.0,0.0,0.0
289,11691,3.0,0.0,0.0
290,11692,0.0,1.0,0.0
291,11693,2.0,0.0,0.0
292,11694,3.0,1.0,0.25
293,11697,2.0,1.0,0.3333333333333333
294,11701,1.0,1.0,0.5
295,11702,2.0,0.0,0.0
296,11703,5.0,2.0,0.2857142857142857
297,11704,5.0,1.0,0.16666666666666666
298,11706,6.0,0.0,0.0
299,11709,3.0,0.0,0.0
300,11710,6.0,2.0,0.25
301,11713,1.0,0.0,0.0
302,11714,7.0,2.0,0.2222222222222222
303,11715,2.0,0.0,0.0
304,11717,7.0,0.0,0.0
305,11720,1.0,0.0,0.0
306,11721,2.0,0.0,0.0
307,11722,4.0,0.0,0.0
308,11725,4.0,1.0,0.2
309,11726,2.0,2.0,0.5
310,11727,9.0,0.0,0.0
311,11729,3.0,0.0,0.0
312,11730,2.0,1.0,0.3333333333333333
313,11731,8.0,0.0,0.0
314,11732,1.0,0.0,0.0
315,11733,4.0,0.0,0.0
316,11735,11.0,2.0,0.15384615384615385
317,11738,3.0,1.0,0.25
318,11740,4.0,1.0,0.2
319,11741,4.0,0.0,0.0
320,11743,11.0,2.0,0.15384615384615385
321,11746,10.0,1.0,0.09090909090909091
322,11747,11.0,2.0,0.15384615384615385
323,11749,1.0,0.0,0.0
324,11751,2.0,0.0,0.0
325,11752,1.0,0.0,0.0
326,11753,1.0,1.0,0.5
327,11754,4.0,0.0,0.0
328,11755,3.0,0.0,0.0
329,11756,9.0,0.0,0.0
330,11757,7.0,1.0,0.125
331,11758,16.0,1.0,0.058823529411764705
332,11762,5.0,1.0,0.16666666666666666
333,11763,6.0,1.0,0.14285714285714285
334,11764,1.0,1.0,0.5
335,11766,8.0,0.0,0.0
336,11767,3.0,1.0,0.25
337,11768,4.0,1.0,0.2
338,11769,1.0,0.0,0.0
339,11770,1.0,0.0,0.0
340,11771,3.0,0.0,0.0
341,11772,5.0,0.0,0.0
342,11776,7.0,0.0,0.0
343,11778,1.0,0.0,0.0
