,zcta,population,sdi_score,black_score,hisp_score,top_deprived_quartile
0,01001,17438,33.0,21.0,43.0,0.0
1,01002,29780,65.0,49.0,43.0,1.0
2,01003,11241,65.0,55.0,34.0,1.0
3,01005,5201,23.0,15.0,7.0,0.0
4,01007,14838,25.0,15.0,15.0,0.0
5,01008,1171,4.0,1.0,3.0,0.0
6,01009,429,73.0,1.0,1.0,1.0
7,01010,3695,17.0,1.0,7.0,0.0
8,01011,1506,17.0,21.0,20.0,0.0
9,01012,539,15.0,1.0,10.0,0.0
10,01013,22394,84.0,34.0,77.0,1.0
11,01020,30952,56.0,38.0,64.0,0.0
12,01022,2840,43.0,72.0,45.0,0.0
13,01026,1036,10.0,37.0,11.0,0.0
14,01027,17787,32.0,28.0,43.0,0.0
15,01028,16017,12.0,53.0,22.0,0.0
16,01029,717,30.0,13.0,4.0,0.0
17,01030,11250,24.0,28.0,38.0,0.0
18,01031,1369,65.0,1.0,31.0,1.0
19,01032,611,2.0,1.0,7.0,0.0
20,01033,6304,12.0,1.0,37.0,0.0
21,01034,2190,15.0,6.0,13.0,0.0
22,01035,5324,14.0,19.0,32.0,0.0
23,01036,5179,10.0,5.0,8.0,0.0
24,01037,731,10.0,26.0,57.0,0.0
25,01038,2794,9.0,18.0,1.0,0.0
26,01039,1236,13.0,11.0,21.0,0.0
27,01040,40342,95.0,45.0,91.0,1.0
28,01050,2513,24.0,43.0,33.0,0.0
29,01053,1772,49.0,43.0,49.0,0.0
30,01054,1993,7.0,17.0,20.0,0.0
31,01056,21348,28.0,24.0,41.0,0.0
32,01057,8712,23.0,1.0,8.0,0.0
33,01060,15229,58.0,41.0,51.0,0.0
34,01062,11029,45.0,28.0,52.0,0.0
35,01063,572,1.0,43.0,63.0,0.0
36,01066,10,10.0,1.0,1.0,0.0
37,01068,1803,11.0,5.0,12.0,0.0
38,01069,8976,40.0,16.0,6.0,0.0
39,01070,565,17.0,12.0,5.0,0.0
40,01071,1318,3.0,10.0,7.0,0.0
41,01072,1465,18.0,11.0,33.0,0.0
42,01073,6022,11.0,21.0,3.0,0.0
43,01074,247,43.0,1.0,1.0,0.0
44,01075,17781,32.0,46.0,36.0,0.0
45,01077,9640,15.0,1.0,3.0,0.0
46,01079,593,50.0,1.0,45.0,0.0
47,01080,2286,74.0,1.0,51.0,1.0
48,01081,1720,29.0,11.0,11.0,0.0
49,01082,10460,54.0,7.0,14.0,0.0
50,01083,2960,48.0,1.0,10.0,0.0
51,01084,155,13.0,1.0,19.0,0.0
52,01085,41509,44.0,30.0,49.0,0.0
53,01086,685,1.0,66.0,35.0,0.0
54,01088,493,40.0,45.0,62.0,0.0
55,01089,28600,62.0,43.0,56.0,1.0
56,01092,1291,62.0,6.0,1.0,1.0
57,01093,307,9.0,1.0,1.0,0.0
58,01094,336,55.0,1.0,12.0,0.0
59,01095,14514,8.0,40.0,23.0,0.0
60,01096,2494,13.0,7.0,8.0,0.0
61,01097,31,10.0,1.0,1.0,0.0
62,01098,1149,17.0,15.0,14.0,0.0
63,01103,2564,100.0,73.0,95.0,1.0
64,01104,23485,96.0,68.0,93.0,1.0
65,01105,12027,100.0,80.0,95.0,1.0
66,01106,16007,4.0,19.0,30.0,0.0
67,01107,11224,100.0,62.0,98.0,1.0
68,01108,27342,96.0,76.0,88.0,1.0
69,01109,30541,95.0,91.0,86.0,1.0
70,01118,14453,53.0,74.0,70.0,0.0
71,01119,13269,70.0,86.0,79.0,1.0
72,01128,2498,11.0,77.0,39.0,0.0
73,01129,7377,43.0,79.0,69.0,0.0
74,01151,9037,96.0,77.0,86.0,1.0
75,01199,0,0.0,0.0,0.0,0.0
76,01201,45328,68.0,53.0,37.0,1.0
77,01220,8391,46.0,9.0,6.0,0.0
78,01222,812,17.0,1.0,5.0,0.0
79,01223,2294,16.0,17.0,10.0,0.0
80,01224,138,48.0,1.0,1.0,0.0
81,01225,3124,14.0,12.0,4.0,0.0
82,01226,6892,26.0,13.0,18.0,0.0
83,01229,114,6.0,1.0,1.0,0.0
84,01230,8048,30.0,32.0,59.0,0.0
85,01235,2866,15.0,16.0,4.0,0.0
86,01236,1538,15.0,29.0,33.0,0.0
87,01237,2841,11.0,32.0,2.0,0.0
88,01238,5950,35.0,19.0,22.0,0.0
89,01240,4603,41.0,18.0,22.0,0.0
90,01242,394,22.0,1.0,1.0,0.0
91,01243,374,2.0,1.0,1.0,0.0
92,01244,115,34.0,1.0,1.0,0.0
93,01245,950,13.0,27.0,18.0,0.0
94,01247,15737,71.0,20.0,23.0,1.0
95,01253,708,14.0,19.0,13.0,0.0
96,01254,954,4.0,9.0,8.0,0.0
97,01255,852,21.0,7.0,7.0,0.0
98,01256,796,29.0,51.0,14.0,0.0
99,01257,2203,22.0,12.0,2.0,0.0
100,01258,334,1.0,13.0,6.0,0.0
101,01259,563,8.0,6.0,1.0,0.0
102,01260,485,63.0,1.0,1.0,1.0
103,01262,1239,41.0,47.0,24.0,0.0
104,01264,153,22.0,1.0,1.0,0.0
105,01266,1430,2.0,6.0,7.0,0.0
106,01267,7884,22.0,42.0,39.0,0.0
107,01270,789,4.0,1.0,9.0,0.0
108,01301,17766,52.0,26.0,43.0,0.0
109,01330,1432,13.0,8.0,2.0,0.0
110,01331,13290,54.0,12.0,42.0,0.0
111,01337,2593,18.0,11.0,23.0,0.0
112,01338,196,9.0,1.0,1.0,0.0
113,01339,1378,31.0,16.0,4.0,0.0
114,01340,1686,21.0,9.0,6.0,0.0
115,01341,1711,2.0,8.0,19.0,0.0
116,01342,1616,19.0,43.0,22.0,0.0
117,01343,46,6.0,1.0,1.0,0.0
118,01344,1559,32.0,30.0,22.0,0.0
119,01346,496,16.0,1.0,23.0,0.0
120,01347,143,24.0,1.0,1.0,0.0
121,01349,1078,25.0,14.0,1.0,0.0
122,01350,104,15.0,1.0,1.0,0.0
123,01351,2212,18.0,14.0,14.0,0.0
124,01354,1641,9.0,37.0,41.0,0.0
125,01355,925,20.0,11.0,1.0,0.0
126,01360,3022,11.0,7.0,18.0,0.0
127,01364,7880,66.0,6.0,9.0,1.0
128,01366,1167,4.0,12.0,4.0,0.0
129,01367,666,40.0,6.0,25.0,0.0
130,01368,1336,32.0,6.0,12.0,0.0
131,01370,3990,25.0,7.0,3.0,0.0
132,01373,4355,11.0,11.0,11.0,0.0
133,01375,3680,49.0,40.0,40.0,0.0
134,01376,5275,81.0,35.0,46.0,1.0
135,01378,726,13.0,1.0,12.0,0.0
136,01379,843,27.0,9.0,7.0,0.0
137,01420,40462,84.0,44.0,77.0,1.0
138,01430,6160,4.0,19.0,4.0,0.0
139,01431,3177,16.0,12.0,14.0,0.0
140,01432,7489,40.0,41.0,37.0,0.0
141,01434,1658,20.0,81.0,65.0,0.0
142,01436,3897,28.0,8.0,2.0,0.0
143,01438,553,42.0,6.0,1.0,0.0
144,01440,20320,82.0,33.0,49.0,1.0
145,01450,11120,2.0,19.0,10.0,0.0
146,01451,4758,9.0,53.0,28.0,0.0
147,01452,4474,6.0,39.0,4.0,0.0
148,01453,41206,71.0,48.0,66.0,1.0
149,01460,9359,4.0,10.0,6.0,0.0
150,01462,11029,21.0,36.0,28.0,0.0
151,01463,11953,12.0,20.0,17.0,0.0
152,01464,7436,46.0,65.0,68.0,0.0
153,01467,472,11.0,1.0,1.0,0.0
154,01468,3717,11.0,1.0,1.0,0.0
155,01469,7348,6.0,5.0,9.0,0.0
156,01473,7414,8.0,17.0,26.0,0.0
157,01474,1934,7.0,1.0,1.0,0.0
158,01475,10542,35.0,13.0,20.0,0.0
159,01501,16208,10.0,25.0,29.0,0.0
160,01503,2957,3.0,13.0,7.0,0.0
161,01504,9078,24.0,20.0,31.0,0.0
162,01505,4432,2.0,21.0,13.0,0.0
163,01506,3405,22.0,14.0,2.0,0.0
164,01507,13215,10.0,18.0,4.0,0.0
165,01510,13727,56.0,18.0,65.0,0.0
166,01515,2198,11.0,1.0,7.0,0.0
167,01516,8650,11.0,11.0,40.0,0.0
168,01518,2951,19.0,1.0,13.0,0.0
169,01519,6301,4.0,47.0,6.0,0.0
170,01520,14929,4.0,20.0,22.0,0.0
171,01521,2498,17.0,23.0,21.0,0.0
172,01522,3089,2.0,25.0,7.0,0.0
173,01523,7877,24.0,57.0,42.0,0.0
174,01524,6827,20.0,9.0,26.0,0.0
175,01525,138,24.0,1.0,1.0,0.0
176,01527,13391,20.0,11.0,21.0,0.0
177,01529,3208,27.0,23.0,20.0,0.0
178,01531,1133,10.0,14.0,11.0,0.0
179,01532,14814,5.0,26.0,23.0,0.0
180,01534,6378,20.0,9.0,39.0,0.0
181,01535,4734,22.0,19.0,4.0,0.0
182,01536,7634,11.0,31.0,35.0,0.0
183,01537,2444,33.0,1.0,59.0,0.0
184,01540,11112,18.0,10.0,39.0,0.0
185,01541,3456,4.0,17.0,38.0,0.0
186,01542,2110,14.0,14.0,6.0,0.0
187,01543,8316,2.0,9.0,13.0,0.0
188,01545,35963,15.0,42.0,24.0,0.0
189,01550,16802,81.0,33.0,83.0,1.0
190,01560,4558,40.0,45.0,47.0,0.0
191,01561,141,54.0,1.0,1.0,0.0
192,01562,11773,39.0,14.0,41.0,0.0
193,01564,7896,7.0,22.0,27.0,0.0
194,01566,6469,2.0,10.0,22.0,0.0
195,01568,7468,11.0,7.0,22.0,0.0
196,01569,13828,16.0,36.0,8.0,0.0
197,01570,16827,76.0,48.0,55.0,1.0
198,01571,11515,35.0,30.0,12.0,0.0
199,01581,18611,19.0,24.0,34.0,0.0
200,01583,7442,21.0,55.0,43.0,0.0
201,01585,4664,30.0,33.0,6.0,0.0
202,01588,9668,38.0,36.0,21.0,0.0
203,01590,9080,4.0,15.0,2.0,0.0
204,01602,23709,50.0,61.0,61.0,0.0
205,01603,20053,89.0,62.0,74.0,1.0
206,01604,35441,83.0,74.0,70.0,1.0
207,01605,28242,93.0,76.0,80.0,1.0
208,01606,19209,42.0,67.0,49.0,0.0
209,01607,9288,81.0,77.0,63.0,1.0
210,01608,3275,100.0,80.0,92.0,1.0
211,01609,20916,86.0,66.0,67.0,1.0
212,01610,23912,99.0,69.0,86.0,1.0
213,01611,2548,28.0,57.0,51.0,0.0
214,01612,4895,2.0,34.0,59.0,0.0
215,01701,31949,10.0,51.0,43.0,0.0
216,01702,38573,79.0,58.0,76.0,1.0
217,01718,415,4.0,83.0,1.0,0.0
218,01719,5137,7.0,11.0,9.0,0.0
219,01720,22436,5.0,22.0,13.0,0.0
220,01721,17159,3.0,38.0,33.0,0.0
221,01730,13847,13.0,29.0,36.0,0.0
222,01731,2082,31.0,36.0,60.0,0.0
223,01740,5067,1.0,10.0,27.0,0.0
224,01741,5074,1.0,1.0,9.0,0.0
225,01742,19345,10.0,38.0,36.0,0.0
226,01745,373,3.0,1.0,1.0,0.0
227,01746,14197,6.0,20.0,26.0,0.0
228,01747,5942,14.0,9.0,37.0,0.0
229,01748,15925,2.0,20.0,10.0,0.0
230,01749,19602,21.0,28.0,29.0,0.0
231,01752,39425,43.0,34.0,65.0,0.0
232,01754,10459,22.0,38.0,33.0,0.0
233,01756,5938,3.0,11.0,15.0,0.0
234,01757,28543,44.0,37.0,56.0,0.0
235,01760,34683,9.0,25.0,27.0,0.0
236,01770,4245,1.0,1.0,13.0,0.0
237,01772,9536,2.0,27.0,15.0,0.0
238,01773,5262,2.0,38.0,41.0,0.0
239,01775,6957,2.0,4.0,30.0,0.0
240,01776,18397,1.0,11.0,11.0,0.0
241,01778,13562,2.0,7.0,16.0,0.0
242,01801,39609,39.0,51.0,24.0,0.0
243,01803,25467,19.0,42.0,15.0,0.0
244,01810,34616,7.0,28.0,27.0,0.0
245,01821,31607,15.0,26.0,15.0,0.0
246,01824,25669,3.0,11.0,20.0,0.0
247,01826,30633,21.0,36.0,37.0,0.0
248,01827,3343,1.0,1.0,3.0,0.0
249,01830,26499,77.0,32.0,72.0,1.0
250,01832,22397,62.0,27.0,78.0,1.0
251,01833,8441,4.0,6.0,5.0,0.0
252,01834,6646,2.0,16.0,20.0,0.0
253,01835,13183,28.0,29.0,48.0,0.0
254,01840,5165,100.0,44.0,99.0,1.0
255,01841,48242,99.0,36.0,98.0,1.0
256,01843,25397,95.0,44.0,95.0,1.0
257,01844,48607,43.0,28.0,77.0,0.0
258,01845,29271,16.0,25.0,37.0,0.0
259,01850,16006,83.0,64.0,76.0,1.0
260,01851,30022,90.0,59.0,63.0,1.0
261,01852,33822,85.0,58.0,71.0,1.0
262,01854,29557,92.0,55.0,74.0,1.0
263,01860,6601,11.0,5.0,14.0,0.0
264,01862,10985,11.0,42.0,40.0,0.0
265,01863,9088,11.0,14.0,25.0,0.0
266,01864,15396,2.0,18.0,7.0,0.0
267,01867,24852,3.0,18.0,18.0,0.0
268,01876,29479,7.0,16.0,14.0,0.0
269,01879,12053,10.0,12.0,12.0,0.0
270,01880,25819,13.0,18.0,25.0,0.0
271,01886,23232,1.0,12.0,16.0,0.0
272,01887,23141,7.0,26.0,12.0,0.0
273,01890,22075,3.0,17.0,13.0,0.0
274,01901,1371,100.0,84.0,86.0,1.0
275,01902,47052,95.0,72.0,88.0,1.0
276,01904,17521,16.0,52.0,63.0,0.0
277,01905,25668,91.0,74.0,86.0,1.0
278,01906,27620,22.0,34.0,32.0,0.0
279,01907,14217,12.0,10.0,32.0,0.0
280,01908,3454,20.0,22.0,36.0,0.0
281,01913,16907,22.0,15.0,14.0,0.0
282,01915,40670,32.0,23.0,26.0,0.0
283,01921,8138,1.0,1.0,9.0,0.0
284,01922,2803,1.0,19.0,16.0,0.0
285,01923,27266,21.0,23.0,21.0,0.0
286,01929,3608,13.0,1.0,4.0,0.0
287,01930,29399,46.0,17.0,15.0,0.0
288,01937,134,48.0,1.0,59.0,0.0
289,01938,13616,17.0,14.0,12.0,0.0
290,01940,12944,3.0,30.0,10.0,0.0
291,01944,5286,24.0,1.0,14.0,0.0
292,01945,20270,6.0,25.0,22.0,0.0
293,01949,9436,14.0,40.0,55.0,0.0
294,01950,17766,16.0,17.0,18.0,0.0
295,01951,4051,4.0,14.0,5.0,0.0
296,01952,8672,31.0,16.0,8.0,0.0
297,01960,51729,38.0,32.0,51.0,0.0
298,01966,7111,20.0,28.0,9.0,0.0
299,01969,6081,4.0,11.0,9.0,0.0
300,01970,42332,67.0,49.0,69.0,1.0
301,01982,8102,8.0,32.0,15.0,0.0
302,01983,6379,3.0,5.0,4.0,0.0
303,01984,5092,3.0,26.0,15.0,0.0
304,01985,4427,4.0,5.0,24.0,0.0
305,02019,16682,15.0,16.0,15.0,0.0
306,02021,22276,17.0,56.0,30.0,0.0
307,02025,8281,8.0,1.0,3.0,0.0
308,02026,25224,20.0,58.0,44.0,0.0
309,02030,5814,1.0,43.0,23.0,0.0
310,02032,4080,9.0,46.0,9.0,0.0
311,02035,17243,18.0,32.0,21.0,0.0
312,02038,32731,8.0,16.0,18.0,0.0
313,02043,22733,4.0,8.0,7.0,0.0
314,02045,10403,19.0,9.0,24.0,0.0
315,02047,151,34.0,1.0,1.0,0.0
316,02048,23482,13.0,31.0,28.0,0.0
317,02050,25786,12.0,6.0,9.0,0.0
318,02052,12368,2.0,4.0,27.0,0.0
319,02053,13069,3.0,29.0,19.0,0.0
320,02054,8051,4.0,6.0,32.0,0.0
321,02056,11427,5.0,52.0,38.0,0.0
322,02061,10740,4.0,8.0,7.0,0.0
323,02062,28962,33.0,44.0,38.0,0.0
324,02066,17880,4.0,13.0,12.0,0.0
325,02067,17837,2.0,47.0,22.0,0.0
326,02071,1837,14.0,81.0,61.0,0.0
327,02072,28110,32.0,74.0,26.0,0.0
328,02081,19270,7.0,24.0,17.0,0.0
329,02090,15094,3.0,9.0,18.0,0.0
330,02093,11287,7.0,15.0,7.0,0.0
331,02108,4183,30.0,52.0,29.0,0.0
332,02109,3947,53.0,40.0,31.0,0.0
333,02110,2048,33.0,43.0,26.0,0.0
334,02111,7537,80.0,38.0,39.0,1.0
335,02113,7221,44.0,11.0,31.0,0.0
336,02114,12882,51.0,42.0,51.0,0.0
337,02115,28536,85.0,63.0,61.0,1.0
338,02116,22433,49.0,56.0,45.0,0.0
339,02118,27526,88.0,78.0,73.0,1.0
340,02119,26259,97.0,96.0,81.0,1.0
341,02120,15500,96.0,83.0,74.0,1.0
342,02121,28051,99.0,97.0,79.0,1.0
343,02122,24880,92.0,89.0,56.0,1.0
344,02124,53227,91.0,96.0,66.0,1.0
345,02125,35379,94.0,86.0,73.0,1.0
346,02126,27835,91.0,99.0,66.0,1.0
347,02127,36494,73.0,51.0,57.0,1.0
348,02128,44989,95.0,35.0,93.0,1.0
349,02129,18058,73.0,64.0,58.0,1.0
350,02130,39257,66.0,70.0,77.0,1.0
351,02131,31890,73.0,83.0,77.0,1.0
352,02132,28506,22.0,52.0,46.0,0.0
353,02134,18238,77.0,58.0,67.0,1.0
354,02135,38682,70.0,44.0,58.0,1.0
355,02136,31052,70.0,92.0,80.0,1.0
356,02138,37252,38.0,54.0,44.0,0.0
357,02139,36422,58.0,71.0,48.0,0.0
358,02140,18384,57.0,79.0,49.0,0.0
359,02141,13055,61.0,64.0,61.0,1.0
360,02142,2935,58.0,41.0,56.0,0.0
361,02143,26267,62.0,38.0,51.0,1.0
362,02144,24930,51.0,53.0,39.0,0.0
363,02145,25291,77.0,72.0,66.0,1.0
364,02148,60725,74.0,75.0,57.0,1.0
365,02149,43717,84.0,79.0,75.0,1.0
366,02150,37567,96.0,53.0,95.0,1.0
367,02151,53109,79.0,48.0,79.0,1.0
368,02152,17962,38.0,14.0,50.0,0.0
369,02155,59166,44.0,65.0,41.0,0.0
370,02163,2361,55.0,56.0,61.0,0.0
371,02169,55706,64.0,56.0,33.0,1.0
372,02170,19860,48.0,22.0,7.0,0.0
373,02171,17611,51.0,52.0,13.0,0.0
374,02176,27681,17.0,37.0,27.0,0.0
375,02180,21752,19.0,23.0,26.0,0.0
376,02184,36905,26.0,48.0,19.0,0.0
377,02186,27303,10.0,76.0,34.0,0.0
